case,activity,resource,timestamp,Att1,Att2,Att3,Att4,Att5,Att6
1201,Accepted-In Progress,Jolanta,2012/3/9 9:34:54,Low,kr,Org line A2,D_1,PROD604,POLAND
1201,Accepted-Wait,Jolanta,2012/3/12 13:24:43,Low,kr,Org line A2,D_1,PROD604,POLAND
1201,Accepted-Wait,Jolanta,2012/3/12 14:09:24,Low,kr,Org line A2,D_1,PROD604,POLAND
1201,Accepted-In Progress,Jolanta,2012/4/6 10:02:00,Low,kr,Org line A2,D_1,PROD604,POLAND
1201,Completed-Closed,Jolanta,2012/5/23 14:02:57,Low,kr,Org line A2,D_1,PROD604,POLAND
1039,Accepted-In Progress,Katarina,2012/2/10 8:52:07,Medium,se,Org line G4,D_1,PROD374,Sweden
1039,Completed-Closed,Katarina,2012/2/29 14:32:49,Medium,se,Org line G4,D_1,PROD374,Sweden
1708,Accepted-In Progress,Mikael,2011/12/9 8:13:39,Medium,se,Org line C,C_6,PROD154,Sweden
1708,Completed-Closed,Mikael,2012/1/17 14:00:57,Medium,se,Org line C,C_6,PROD154,Sweden
1208,Accepted-In Progress,Ewa,2012/3/12 0:15:03,Medium,us,Org line G3,C_6,PROD98,POLAND
1208,Completed-Closed,Ewa,2012/3/12 0:16:23,Medium,us,Org line G3,C_6,PROD98,POLAND
882,Accepted-In Progress,Ilias,2012/1/13 8:23:38,Low,se,Org line C,C_6,PROD802,Sweden
882,Accepted-In Progress,Ilias,2012/1/13 8:24:46,Low,se,Org line C,C_6,PROD802,Sweden
882,Completed-Closed,Ilias,2012/2/15 10:52:31,Low,se,Org line C,C_6,PROD802,Sweden
1467,Accepted-In Progress,Ewa,2012/5/18 12:42:26,Medium,us,Org line G3,C_6,PROD96,POLAND
1467,Completed-Closed,Ewa,2012/5/18 12:43:58,Medium,us,Org line G3,C_6,PROD96,POLAND
154,Accepted-In Progress,Per,2010/9/23 16:32:09,Low,se,Org line G4,A2_1,PROD304,Sweden
154,Accepted-Wait,Per,2010/12/5 13:28:02,Low,se,Org line G4,A2_1,PROD304,Sweden
154,Completed-Closed,Per,2012/1/26 12:06:11,Low,se,Org line G4,A2_1,PROD304,Sweden
2024,Queued-Awaiting Assignment,Henrique,2012/5/11 22:56:56,High,br,Org line A2,A2_2,PROD124,Brazil
2080,Accepted-In Progress,Stephen,2012/5/18 16:08:41,High,us,Org line C,C_6,PROD785,USA
2080,Queued-Awaiting Assignment,Stephen,2012/5/18 16:24:02,High,us,Org line C,C_6,PROD785,USA
2080,Accepted-In Progress,Kymaria,2012/5/18 16:24:03,High,us,Org line C,V3_3,PROD785,USA
2080,Queued-Awaiting Assignment,Stephen,2012/5/18 18:14:23,High,us,Org line C,C_6,PROD785,USA
2080,Accepted-In Progress,Stephen,2012/5/18 19:57:59,High,us,Org line C,C_6,PROD785,USA
1104,Accepted-In Progress,Joakim,2012/2/21 16:21:18,High,se,Org line C,E_9,PROD745,Sweden
1104,Accepted-Wait,Joakim,2012/3/12 13:08:56,High,se,Org line C,E_9,PROD745,Sweden
1104,Completed-Closed,Joakim,2012/4/23 10:07:28,High,se,Org line C,E_9,PROD745,Sweden
721,Accepted-In Progress,Ewa,2011/12/2 12:09:21,Medium,us,Org line G3,A2_3,PROD97,POLAND
721,Completed-Closed,Ewa,2012/1/3 11:10:20,Medium,us,Org line G3,A2_3,PROD97,POLAND
1141,Accepted-In Progress,Lisbeth,2012/2/29 8:15:32,High,se,Org line A2,A2_5,PROD236,Sweden
1141,Accepted-Wait,Lisbeth,2012/2/29 10:18:00,High,se,Org line A2,A2_5,PROD236,Sweden
1141,Completed-Closed,Lisbeth,2012/3/5 16:27:15,High,se,Org line A2,A2_5,PROD236,Sweden
593,Accepted-In Progress,Curt,2011/10/22 19:40:10,Medium,se,Org line C,E_1,PROD153,Sweden
593,Queued-Awaiting Assignment,Curt,2011/10/22 19:42:30,Medium,se,Org line C,E_1,PROD153,Sweden
593,Accepted-In Progress,John,2011/11/21 15:12:05,Medium,se,Org line C,E_1,PROD153,USA
593,Completed-Closed,John,2012/1/18 14:24:22,Medium,se,Org line C,E_1,PROD153,USA
601,Accepted-In Progress,Peter,2011/10/25 15:34:02,Medium,se,Org line G4,E_1,PROD286,Sweden
